PermitToSpudDays,DrillingDurationDays,CompletionToProductionDays,LATERAL_LENGTH_BLEND,PROP_PER_FOOT,WATER_PER_FOOT,TotalProppant,TotalWater,ProppantIntensity,LateralDistance,SpudMonth,SpudQuarter,SpudYear,operatorNameIHS,LateralLengthCategory,BasinName,formation
-0.4215138400701471,0.09493324532268939,0.49541697691707115,0.7228162270243533,-0.7138185201911013,-1.3758584330644716,-0.3636963873331658,-1.4199804023132219,-0.8505146969148532,0.5455295836486379,9,3,2013,WHITING OIL & GAS CORPORATION,long,WILLISTON BASIN,THREE FORKS
-0.5932973714283323,0.7385484678493964,0.16166238194136007,1.5421390570058673,-0.7285938956315564,-0.6881584765531312,-0.09903943751282104,-0.14622868380516663,-0.9368668261787747,1.1637820428927839,10,4,2013,CONTINENTAL RESOURCES INCORPORATED,long,WILLISTON BASIN,THREE FORKS
-0.3442112509589637,1.3660733098129358,-0.2555308617782788,-0.01999815807067994,-0.7579452046452924,-0.4751357117913801,-0.6750765575837805,-0.3874546060216543,-0.7605735182261589,-0.20789936178089466,6,2,2014,XTO ENERGY INCORPORATED,medium,WILLISTON BASIN,BAKKEN
-0.8166159621939731,1.012084937423247,0.09908339538341422,0.9871834356461834,-0.5843971972085718,0.49394047051409845,-0.07392986603795637,1.5724109438552298,-0.8223757465482314,0.540928654668324,6,2,2014,LIBERTY RESOURCES MANAGEMENT COMPANY LLC,long,WILLISTON BASIN,BAKKEN
-0.3442112509589637,1.8648751072711338,-0.8396014029857732,0.834166545873222,-0.7889512186349109,-0.792761692178512,-0.43314030952511134,-0.5266663776743047,-0.8990267527400694,0.5200761102929041,9,3,2014,CONTINENTAL RESOURCES INCORPORATED,long,WILLISTON BASIN,THREE FORKS
-0.2583194852798711,-0.2590551270669995,0.16166238194136007,-0.9542632526703809,-0.7941860536228135,-0.8500550319988067,-1.0139330143581702,-1.0411223589429386,-0.5122035129155968,0.49519722308000746,10,4,2014,WHITING OIL & GAS CORPORATION,medium,WILLISTON BASIN,THREE FORKS
-0.189606072736597,-0.03378979918265203,-0.7353030920558635,0.8183619844882213,-0.15621127183124678,-0.19125459015244825,0.47485551255169955,0.38605794280660394,-0.5987869348708711,0.5791958402435107,12,4,2014,CONTINENTAL RESOURCES INCORPORATED,long,WILLISTON BASIN,THREE FORKS
-0.9626319638484305,-1.2727491025465631,0.9543295450086738,-0.9348667455160619,1.407302622691812,3.0459178555974775,0.5329796844320063,1.843599383477154,1.6211628778180966,-1.185489948571738,3,1,2014,MARATHON OIL COMPANY,medium,ANADARKO BASIN,WOODFORD
-0.7650809027865175,-1.0474837746622156,0.49541697691707115,0.08668263127807485,3.141350279525014,2.68844387514466,3.778284839158849,3.4417507226953914,1.5634173799640039,-0.22010517646910674,9,3,2014,CIMAREX ENERGY COMPANY,medium,ANADARKO BASIN,WOODFORD
-0.29267619155150815,0.8672715123547379,0.182522044127342,-0.9585735875935629,-1.3027363140513921,-0.5031093443561635,-1.3661088305424334,-0.789354692036939,-1.0122753131873072,-1.0306124607612213,2,1,2015,CHAPARRAL ENERGY LIMITED LIABILITY CORP,medium,ANADARKO BASIN,OSWEGO
-0.945453610712612,-0.7256761633988621,0.6205749500329628,0.04717122781557307,1.1946354523204883,1.3109914652238597,1.5268659946815595,1.745696865731919,0.41804383593090966,-0.09240700805557472,3,1,2014,APPROACH OPERATING LIMITED LIABILITY CORP,medium,PERMIAN BASIN,WOLFCAMP
-0.4816380760455119,-1.2888394831097307,0.6205749500329628,0.18977147485751128,1.4700045870271399,0.75356002294963,2.016799843347262,1.2249083807803833,0.4913747963706405,-0.1181715272416201,6,2,2014,EP ENERGY E&P COMPANY LP,long,PERMIAN BASIN,WOLFCAMP
